# source: U.S. Census Bureau Schedule D (distcode.html), fetched 2026-09-07
# https://www.census.gov/foreign-trade/schedules/d/distcode.html
# Every port-of-entry entry in the published list (district header rows excluded).
regime,kind,code,name,state_province,country,parent_code
ACE,port_of_entry,3816,GRAND HAVEN,MI,US,
ACE,port_of_entry,3818,ROGERS CITY,MI,US,
ACE,port_of_entry,3819,DETOUR,MI,US,
ACE,port_of_entry,3842,PRESQUE ISLE,MI,US,
ACE,port_of_entry,3843,ALPENA,MI,US,
ACE,port_of_entry,3881,OAKLAND/PONTIAC AIRPORT,,US,
ACE,port_of_entry,3882,"WILLOW RUN AIRPORT, YPSILANTI",MI,US,
ACE,port_of_entry,3883,"CAPITAL REGION INTL AIRPORT, LANSING",MI,US,
ACE,port_of_entry,3901,CHICAGO,IL,US,
ACE,port_of_entry,3902,PEORIA,IL,US,
ACE,port_of_entry,3905,GARY,IN,US,
ACE,port_of_entry,3908,"DAVENPORT, IA-ROCK ISLAND",IL,US,
ACE,port_of_entry,3909,ROCKFORD AIRPORT,IL,US,
ACE,port_of_entry,3910,CHICAGO MIDWAY INT'L AIRPORT,IL,US,
ACE,port_of_entry,3971,"TNT EXPRESS CONSIGNMENT, CHICAGO",IL,US,
ACE,port_of_entry,3983,CHICAGO EXECUTIVE AIRPORT,IL,US,
ACE,port_of_entry,3987,"UFA UI WILLARD AIRPORT, SAVOY",IL,US,
ACE,port_of_entry,4101,CLEVELAND,OH,US,
ACE,port_of_entry,4102,CINCINNATI,OH,US,
ACE,port_of_entry,4103,COLUMBUS,OH,US,
ACE,port_of_entry,4104,DAYTON,OH,US,
ACE,port_of_entry,4105,TOLEDO-SNADUSKY,OH,US,
ACE,port_of_entry,4106,ERIE,PA,US,
ACE,port_of_entry,4110,INDIANAPOLIS,IN,US,
ACE,port_of_entry,4115,LOUISVILLE,KY,US,
ACE,port_of_entry,4116,OWENSBORO-EVANSVILLE,KY,US,
ACE,port_of_entry,4121,LORAIN,OH,US,
ACE,port_of_entry,4122,ASHTABULA/CONNEAUT,OH,US,
ACE,port_of_entry,4183,FORT WAYNE AIRPORT,,US,
ACE,port_of_entry,4184,BLUE GRASS AIRPORT,,US,
ACE,port_of_entry,4196,UPS COURIER,,US,
ACE,port_of_entry,4197,DHL CINCINNATI,OH,US,
ACE,port_of_entry,4198,"FEDEX, INDIANAPOLIS",IN,US,
ACE,port_of_entry,4501,KANSAS CITY,MO,US,
ACE,port_of_entry,4502,ST JOSEPH,MO,US,
ACE,port_of_entry,4503,ST LOUIS,MO,US,
ACE,port_of_entry,4504,WICHITA,KS,US,
ACE,port_of_entry,4505,SPRINGFIELD,MO,US,
ACE,port_of_entry,4581,MIDAMERICAN AIRPORT,IL,US,
ACE,port_of_entry,4901,AGUADILLA,PR,US,
ACE,port_of_entry,4904,FAJARDO,PR,US,
ACE,port_of_entry,4907,MAYAGUEZ,PR,US,
ACE,port_of_entry,4908,PONCE,PR,US,
ACE,port_of_entry,4909,SAN JUAN,PR,US,
ACE,port_of_entry,4913,SAN JUAN INTL AIRPORT,PR,US,
ACE,port_of_entry,5101,CHARLOTTE AMALIE,VI,US,
ACE,port_of_entry,5102,CRUZ BAY,VI,US,
ACE,port_of_entry,5104,CHRISTIANSTED,VI,US,
ACE,port_of_entry,5105,FREDERIKSTED,VI,US,
ACE,port_of_entry,5201,MIAMI,FL,US,
ACE,port_of_entry,5202,KEY WEST,FL,US,
ACE,port_of_entry,5203,PORT EVERGLADES,FL,US,
ACE,port_of_entry,5204,WEST PALM BEACH,FL,US,
ACE,port_of_entry,5205,FORT PIERCE,FL,US,
ACE,port_of_entry,5206,MIAMI INTL AIRPORT,FL,US,
ACE,port_of_entry,5210,FT. LAUDERDALE INTL AIRP,FL,US,
ACE,port_of_entry,5295,"UPS, MIAMI",FL,US,
ACE,port_of_entry,5296,"DHL, MIAMI",FL,US,
ACE,port_of_entry,5297,"FEDEX, MIAMI",FL,US,
ACE,port_of_entry,5298,IBC COURIER HUB,FL,US,
ACE,port_of_entry,5301,HOUSTON,TX,US,
ACE,port_of_entry,5306,TEXAS CITY,TX,US,
ACE,port_of_entry,5309,HOUSTON INTERCONTL AIRP,TX,US,
ACE,port_of_entry,5310,GALVESTON,TX,US,
ACE,port_of_entry,5311,FREEPORT,TX,US,
ACE,port_of_entry,5312,CORPUS CHRISTI,TX,US,
ACE,port_of_entry,5313,PORT LAVACA,TX,US,
ACE,port_of_entry,5381,"SUGAR LAND REG AIRP, SUGAR LAND",TX,US,
ACE,port_of_entry,5401,WASHINGTON,DC,US,
ACE,port_of_entry,5402,ALEXANDRIA,VA,US,
ACE,port_of_entry,5501,DALLAS/FT. WORTH,TX,US,
ACE,port_of_entry,5502,AMARILLO,TX,US,
ACE,port_of_entry,5503,LUBBOCK,TX,US,
ACE,port_of_entry,5504,OKLAHOMA CITY,OK,US,
ACE,port_of_entry,5505,TULSA,OK,US,
ACE,port_of_entry,5506,AUSTIN,TX,US,
ACE,port_of_entry,5507,SAN ANTONIO,TX,US,
ACE,port_of_entry,5582,"MIDLAND INTL AIRPORT, MIDLAND",TX,US,
ACE,port_of_entry,5583,FORTH WORTH ALLIANCE AIRP,TX,US,
ACE,port_of_entry,5584,"ADDISON AIRPORT, ADDISON",TX,US,
ACE,port_of_entry,5901,NORFOLK/MOBILE/CHARLESTON,,US,
ACE,port_of_entry,7000,LOW VALUE,,US,
ACE,port_of_entry,7010,CANADIAN LATE RECEIPTS ESTIMATE,,US,
